,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
1838,DTXSID2020349,,,66.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1839,DTXSID2020391,1.5965549559143015,0.13835175578223347,70.0,6.0,0.08571428571428572,True,0.1765603253086648,1.5965549559143015,39.49616749015268,11.66471090931466
1840,DTXSID2020399,1.3715470361293391,0.19981547307011147,70.0,19.0,0.2714285714285714,True,0.1765603253086648,1.3715470361293391,23.52594276585996,6.948099997329087
1841,DTXSID2020420,1.6641049548145075,0.016017564565966442,73.0,4.0,0.0547945205479452,True,0.1765603253086648,1.6641049548145075,46.14290734474747,13.627744383704272
1842,DTXSID2020424,1.436871520008428,0.42557854320812244,68.0,11.0,0.16176470588235295,True,0.1765603253086648,1.436871520008428,27.344596547199746,8.075892774519321
1843,DTXSID2020426,1.7104455880039324,0.1550385084067608,62.0,7.0,0.11290322580645161,True,0.1765603253086648,1.7104455880039324,51.338785200736076,15.162283478550066
1844,DTXSID2020428,1.590908399791254,0.0,73.0,1.0,0.0136986301369863,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1845,DTXSID2020470,1.6799359949121968,0.20183194638961433,68.0,31.0,0.45588235294117646,True,0.1765603253086648,1.6799359949121968,47.85595583761121,14.133672343622782
1846,DTXSID2020474,1.6566804137151616,0.35995714403382845,70.0,3.0,0.04285714285714286,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1847,DTXSID2020478,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1848,DTXSID2020501,1.6452423698976897,0.24064941433101245,73.0,32.0,0.4383561643835616,True,0.1765603253086648,1.6452423698976897,44.18169465786681,13.04852415860656
1849,DTXSID2020505,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1850,DTXSID2020507,1.9089687196857372,0.0,73.0,1.0,0.0136986301369863,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1851,DTXSID2020509,1.6438727348777276,0.11156186531162773,70.0,7.0,0.1,True,0.1765603253086648,1.6438727348777276,44.04257827634898,13.007437833621738
1852,DTXSID2020557,1.2686894789419212,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1853,DTXSID2020634,1.448201195720142,0.5015473478704489,73.0,20.0,0.273972602739726,True,0.1765603253086648,1.448201195720142,28.067336130359887,8.289345087389513
1854,DTXSID2020636,0.49141809684126414,0.46827905399185543,62.0,8.0,0.12903225806451613,True,0.1765603253086648,0.49141809684126414,3.10040263158647,0.9156660683331221
1855,DTXSID2020680,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1856,DTXSID2020682,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1857,DTXSID2020684,1.6598333218839243,0.1724657968033302,70.0,14.0,0.2,True,0.1765603253086648,1.6598333218839243,45.691279714842295,13.494361676563983
